IS IMPLEMENTED	IS CODE UP TO DATE	STAT NAME	WHITE VALUE	GREEN VALUE	BLUE VALUE	PURPLE VALUE	ORANGE VALUE
No	No	Spirit Cap	0	0	0	0	0
No	No	Strength Cap	0	0	0	0	0
No	No	Constitution Cap	0	0	0	0	0
No	No	Exploit Weakness: Ore	0	0	0	0	0
No	No	Exploit Weakness: Stone	0	0	0	0	0
No	No	Exploit Weakness: Animal	0	0	0	0	0
No	No	Exploit Weakness: Wood	0	0	0	0	0
No	No	Exploit Weakness: Grave	0	0	0	0	0
No	No	Power Damage Bonus: Ranged	0	0	0	0	0
No	No	Power Damage Bonus: Melee	0	0	0	0	0
No	No	Blacksmithing Experimentation	0	0	0	0	0
No	No	Stonemasonry Experimentation	0	0	0	0	0
No	No	Necromancy Experimentation	0	0	0	0	0
No	No	Woodworking Experimentation	0	0	0	0	0
No	No	Blacksmithing Experimentation Points	0	0	0	0	0
No	No	Runemaking Experimentation Points	0	0	0	0	0
No	No	Necromancy Experimentation Points	0	0	0	0	0
No	No	Woodworking Experimentation Points	0	0	0	0	0
No	No	Leatherworking Experimentation Points	0	0	0	0	0
No	No	Stonemasonry Experimentation Points	0	0	0	0	0
No	No	Alchemy Experimentation Points	0	0	0	0	0
No	No	Jewelcrafting Experimentation Points	0	0	0	0	0
No	No	Out Of Combat Stamina Regeneration	0	0	0	0	0
No	No	Harvesting Efficiency	0	0	0	0	0
No	No	Harvesting Damage: All	0	0	0	0	0
No	No	Harvesting: All	0	0	0	0	0
No	No	Spot Weakness: All	0	0	0	0	0
No	No	Personal Healing Modifier	0	0	0	0	0
No	No	Ranged Distance Bonus	0	0	0	0	0
