IS IMPLEMENTED	IS CODE UP TO DATE	ITEM NAME	CUSTOMIZATION NAME	MATERIALS	EFFECT 1	EFFECT 2
No	No	Metal Rings	Dark Bronze	20x Iron, 20x Copper, 20x Tin, 12x Coal	Fire Damage Bonus	
No	No	Metal Rings	Bright Steel	20x Iron, 20x Copper, 20x Silver, 12x Coal	Ice Damage Bonus	
No	No	Metal Rings	Aurelium Steel	20x Iron, 20x Copper, 20x Aurelium, 12x Coal	Electricity Damage Bonus	
No	No	Metal Rings	Invar	20x Iron, 20x Iron, 20x Tin, 12x Coal	Nature Damage Bonus	
No	No	Metal Rings	Silvered Iron	20x Iron, 20x Iron, 20x Silver, 12x Coal	Poison Damage Bonus	
No	No	Metal Rings	Tiger Iron	20x Iron, 20x Iron, 20x Aurelium, 12x Coal	Disease Damage Bonus	
No	No	Metal Rings	Blue Steel	20x Iron, 20x Tin, 20x Silver, 12x Coal	Slashing Damage Bonus	
No	No	Metal Rings	Forest Aurelium	20x Iron, 20x Tin, 20x Aurelium, 12x Coal	Crushing Damage Bonus	
No	No	Metal Rings	Dark Electrum	20x Iron, 20x Silver, 20x Aurelium, 12x Coal	Piercing Damage Bonus	
No	No	Metal Rings	Sterling	20x Iron, 20x Silver, 20x Silver, 12x Coal	Critical Strike Damage	
No	No	Metal Rings	Rose Aurelium	20x Iron, 20x Aurelium, 20x Aurelium, 12x Coal	Critical Healing Amount	
						
No	No	Metal Sheet	Steel	20x Iron, 20x Copper, 20x Iron, 12x Coal	Bleed Damage Bonus	
No	No	Metal Sheet	Dark Bronze	20x Iron, 20x Copper, 20x Tin, 12x Coal	Fire Damage Bonus	
No	No	Metal Sheet	Bright Steel	20x Iron, 20x Copper, 20x Silver, 12x Coal	Ice Damage Bonus	
No	No	Metal Sheet	Aurelium Steel	20x Iron, 20x Copper, 20x Aurelium, 12x Coal	Electricity Damage Bonus	
No	No	Metal Sheet	Invar	20x Iron, 20x Iron, 20x Tin, 12x Coal	Nature Damage Bonus	
No	No	Metal Sheet	Silvered Iron	20x Iron, 20x Iron, 20x Silver, 12x Coal	Poison Damage Bonus	
No	No	Metal Sheet	Tiger Iron	20x Iron, 20x Iron, 20x Aurelium, 12x Coal	Disease Damage Bonus	
No	No	Metal Sheet	Blue Steel	20x Iron, 20x Tin, 20x Silver, 12x Coal	Slashing Damage Bonus	
No	No	Metal Sheet	Forest Aurelium	20x Iron, 20x Tin, 20x Aurelium, 12x Coal	Crushing Damage Bonus	
No	No	Metal Sheet	Dark Electrum	20x Iron, 20x Silver, 20x Aurelium, 12x Coal	Piercing Damage Bonus	
No	No	Metal Sheet	Sterling	20x Iron, 20x Silver, 20x Silver, 12x Coal	Critical Strike Damage	
No	No	Metal Sheet	Rose Aurelium	20x Iron, 20x Aurelium, 20x Aurelium, 12x Coal	Critical Healing Amount	
						
No	No	Composite Wood Plank	Batten	6x Spruce, 6x Yew, 6x Yew, 5x Sandpaper	Support Power	Attack Power
No	No	Composite Wood Plank	Pliable	6x Spruce, 6x Ash, 6x Ash, 5x Sandpaper	Stamina	Attack Power
No	No	Composite Wood Plank	Sapid	6x Oak, 6x Oak, 6x Spruce, 5x Sandpaper	Stamina	Support Power
No	No	Composite Wood Plank	Stout	6x Oak, 6x Spruce, 6x Spruce, 5x Sandpaper	Fire Armor Penetration	Attack Power
No	No	Composite Wood Plank	Rustic	6x Birch, 6x Birch, 6x Yew, 5x Sandpaper	Ice Armor Penetration	Attack Power
No	No	Composite Wood Plank	Builder's	6x Birch, 6x Ash, 6x Ash, 5x Sandpaper	Electricity Armor Penetration	Attack Power
No	No	Composite Wood Plank	Pressed	6x Spruce, 6x Birch, 6x Ash, 5x Sandpaper	Nature Armor Penetration	Attack Power
No	No	Composite Wood Plank	Prime	6x Oak, 6x Oak, 6x Birch, 5x Sandpaper	Slashing Armor Penetration	Attack Power
No	No	Composite Wood Plank	Sheated	6x Spruce, 6x Birch, 6x Yew, 5x Sandpaper	Crushing Armor Penetration	Attack Power
No	No	Composite Wood Plank	Waned	6x Yew, 6x Yew, 6x Oak, 5x Sandpaper	Piercing Armor Penetration	Attack Power
No	No	Composite Wood Plank	Select Oak	6x Oak, 6x Oak, 6x Oak, 5x Sandpaper	Critical Strike Chance	Attack Power
No	No	Composite Wood Plank	Select Birch	6x Birch, 6x Birch, 6x Birch, 5x Sandpaper	Critical Strike Damage	Attack Power
No	No	Composite Wood Plank	Select Spruce	6x Spruce, 6x Spruce, 6x Spruce, 5x Sandpaper	Critical Healing Chance	Support Power
No	No	Composite Wood Plank	Select Ash	6x Ash, 6x Ash, 6x Ash, 5x Sandpaper	Critical Healing Amount	Support Power
No	No	Composite Wood Plank	Select Yew	6x Yew, 6x Yew, 6x Yew, 5x Sandpaper	Critical Strike Chance	Critical Strike Damage
						
No	No	Book Chapter	Redemption	1x Composite Wood Plank, 1x Stitched Leather, 3x Travertine	Slashing Resistance	
No	No	Book Chapter	Sin	1x Composite Wood Plank, 1x Stitched Leather, 3x Marble	Fire Resistance	
No	No	Book Chapter	Indulgence	1x Composite Wood Plank, 1x Stitched Leather, 3x Limestone	Crushing Resistance	
No	No	Book Chapter	Fervor	1x Composite Wood Plank, 1x Stitched Leather, 3x Granite	Electricity Resistance	
No	No	Book Chapter	Absolution	1x Composite Wood Plank, 1x Stitched Leather, 3x Slate	Piercing Resistance	
						
No	No	Stitched Leather	Full Grain	1x Soft Hide, 1x Strong Hide, 1x Strong Hide, 2x Lacing Sinew	Attack Power	Stamina
No	No	Stitched Leather	Top Grain	1x Soft Hide, 1x Tough Hide, 1x Tough Hide, 2x Lacing Sinew	Support Power	Stamina
No	No	Stitched Leather	Split Grain	1x Strong Hide, 1x Durable Hide, 1x Durable Hide, 2x Lacing Sinew	Attack Power	Stealth
No	No	Stitched Leather	Bicast	1x Strong Hide, 1x Flexible Hide, 1x Flexible Hide, 2x Lacing Sinew	Support Power	Perception
No	No	Stitched Leather	Suede	1x Strong Hide, 1x Soft Hide, 1x Soft Hide, 2x Lacing Sinew	Attack Power	Lifesteal
No	No	Stitched Leather	Bonded	1x Strong Hide, 1x Tough Hide, 1x Flexible Hide, 2x Lacing Sinew	Support Power	Attack Power
No	No	Stitched Leather	Genuine Durable	1x Durable Hide, 1x Durable Hide, 1x Durable Hide, 2x Lacing Sinew	Critical Strike Chance	Attack Power
No	No	Stitched Leather	Genuine Tough	1x Tough Hide, 1x Tough Hide, 1x Tough Hide, 2x Lacing Sinew	Critical Strike Damage	Attack Power
No	No	Stitched Leather	Genuine Soft	1x Soft Hide, 1x Soft Hide, 1x Soft Hide, 2x Lacing Sinew	Critical Healing Chance	Support Power
No	No	Stitched Leather	Genuine Strong	1x Strong Hide, 1x Strong Hide, 1x Strong Hide, 2x Lacing Sinew	Critical Healing Amount	Support Power
No	No	Stitched Leather	Genuine Flexible	1x Flexible Hide, 1x Flexible Hide, 1x Flexible Hide, 2x Lacing Sinew	Critical Strike Chance	Critical Strike Damage
						
No	No	Leather Square	Limber Corium	4x Durable Hide, 3x Flexible Hide, 3x Flexible Hide	Bleed Resistance	
No	No	Leather Square	Soft Corium	4x Durable Hide, 3x Soft Hide, 3x Soft Hide	Fire Resistance	
No	No	Leather Square	Sturdy Corium	4x Durable Hide, 3x Strong Hide, 3x Strong Hide	Ice Resistance	
No	No	Leather Square	Stout Corium	4x Durable Hide, 3x Tough Hide, 3x Tough Hide	Electricity Resistance	
No	No	Leather Square	Corium	4x Flexible Hide, 3x Durable Hide, 3x Durable Hide	Nature Resistance	
No	No	Leather Square	Chamoise	4x Flexible Hide, 3x Soft Hide, 3x Soft Hide	Poison Resistance	
No	No	Leather Square	Sturdy Bicast	4x Flexible Hide, 3x Strong Hide, 3x Strong Hide	Disease Resistance	
No	No	Leather Square	Limber Grain	4x Flexible Hide, 3x Tough Hide, 3x Tough Hide	Slashing Resistance	
No	No	Leather Square	Bicast	4x Soft Hide, 3x Durable Hide, 3x Durable Hide	Crushing Resistance	
No	No	Leather Square	Suede	4x Soft Hide, 3x Flexible Hide, 3x Flexible Hide	Piercing Resistance	
						
No	No	Hardened Leather Square	Limber Corium	5x Durable Hide, 5x Flexible Hide, 5x Flexible Hide, 3x Lacing Sinew	Bleed Damage Bonus	
No	No	Hardened Leather Square	Soft Corium	5x Durable Hide, 5x Soft Hide, 5x Soft Hide, 3x Lacing Sinew	Fire Damage Bonus	
No	No	Hardened Leather Square	Sturdy Corium	5x Durable Hide, 5x Strong Hide, 5x Strong Hide, 3x Lacing Sinew	Ice Damage Bonus	
No	No	Hardened Leather Square	Stout Corium	5x Durable Hide, 5x Tough Hide, 5x Tough Hide, 3x Lacing Sinew	Electricity Damage Bonus	
No	No	Hardened Leather Square	Corium	5x Flexible Hide, 5x Durable Hide, 5x Durable Hide, 3x Lacing Sinew	Nature Damage Bonus	
No	No	Hardened Leather Square	Chamoise	5x Flexible Hide, 5x Soft Hide, 5x Soft Hide, 3x Lacing Sinew	Poison Damage Bonus	
No	No	Hardened Leather Square	Sturdy Bicast	5x Flexible Hide, 5x Strong Hide, 5x Strong Hide, 3x Lacing Sinew	Disease Damage Bonus	
No	No	Hardened Leather Square	Limber Grain	5x Flexible Hide, 5x Tough Hide, 5x Tough Hide, 3x Lacing Sinew	Slashing Damage Bonus	
No	No	Hardened Leather Square	Split Grain	5x Soft Hide, 5x Durable Hide, 5x Durable Hide, 3x Lacing Sinew	Crushing Damage Bonus	
No	No	Hardened Leather Square	Nappa	5x Soft Hide, 5x Flexible Hide, 5x Flexible Hide, 3x Lacing Sinew	Piercing Damage Bonus	
No	No	Hardened Leather Square	Bicast	5x Strong Hide, 5x Flexible Hide, 5x Flexible Hide, 3x Lacing Sinew	Critical Strike Damage	
No	No	Hardened Leather Square	Suede	5x Strong Hide, 5x Soft Hide, 5x Soft Hide, 3x Lacing Sinew	Critical Healing Amount	
