IS IMPLEMENTED	IS CODE UP TO DATE	ITEM NAME	REQUIRED PROF	RARITIES	MATERIALS	QTY PER CRAFT	ITEM EFFECT QLTY	CUSTOMIZABLE
No	No	Great Sword	Weaponsmith - Armorsmith	white-orange	1x Weapon Hilt: Great, 1x Weapon Blade: Great, 1x Blade Rivets: Great, 20x Ethereal Dust	1	Yes	No
No	No	Longsword	Weaponsmith - Armorsmith	white-orange	1x Weapon Hilt, 1x Weapon Blade: Long, 1x Blade Rivets, 10x Ethereal Dust	1	Yes	No
No	No	Mace	Weaponsmith - Armorsmith	white-orange	1x Weapon Hilt, 1x Weapon Head: Mace, 1x Weapon Shaft: Short, 10x Ethereal Dust	1	Yes	No
No	No	Mystical Throwing Hammer	Weaponsmith - Armorsmith	white-orange	1x Weapon Hilt, 1x Weapon Head: Hammer, 1x Weapon Shaft: Short, 10x Ethereal Dust	1	Yes	No
No	No	Pistol	Weaponsmith - Armorsmith	white-orange	1x Pistol Body, 1x Pistol Barrel, 1x Pistol Pings, 10x Ethereal Dust	1	Yes	No
No	No	Rapier	Weaponsmith - Armorsmith	white-orange	1x Weapon Hilt, 1x Weapon Blade: Thin, 1x Blade Rivets, 10x Ethereal Dust	1	Yes	No
No	No	Shield	Weaponsmith - Armorsmith	white-orange	1x Shield Covering, 1x Enarmes, 1x Shield Base, 10x Ethereal Dust	1	Yes	No
No	No	Short Sword	Weaponsmith - Armorsmith	white-orange	1x Weapon Hilt, 1x Weapon Blade: Medium, 1x Blade Rivets, 10x Ethereal Dust	1	Yes	No
No	No	Sickle	Weaponsmith - Armorsmith	white-orange	1x Weapon Hilt, 1x Weapon Blade: Curved, 1x Blade Rivets, 10x Ethereal Dust	1	Yes	No
		Miscellaneous						
No	No	Modify Weapon Mold	Weaponsmith - Armorsmith	white	1x Weapon Mold, 1x Appearance Compendium	1	No	No
